City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
21,Yellowknife,CA,12.72,snow,62.456,-114.3525,The Explorer Hotel
114,Kodiak,US,15.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
123,Vardo,NO,13.98,clear sky,70.3705,31.1107,Vardø Hotel AS
136,Hay River,CA,15.78,snow,60.8156,-115.7999,Ptarmigan Inn
137,Altay,CN,15.85,overcast clouds,47.8667,88.1167,Jinqiao Hotel
149,Zhezkazgan,KZ,18.68,clear sky,47.8043,67.7144,Hotel Zumrat
197,Kondinskoye,RU,12.96,overcast clouds,59.6481,67.41,Gostinitsa
212,Peleduy,RU,18.14,light snow,59.6289,112.7406,Гостиница «Уют»
231,Esso,RU,12.72,overcast clouds,55.9333,158.7,Paramushir Tur
270,Qaanaaq,GL,10.27,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
297,Zalantun,CN,11.16,broken clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
309,High Level,CA,14.11,broken clouds,58.5169,-117.13600000000001,Days Inn by Wyndham High Level
